1071307,X,Z,Y,ID
182,5,0,3,10013
183,5,1,3,0
184,5,2,3,10013
185,5,3,3,10013
186,5,4,3,10013
187,5,5,3,10013
188,5,6,3,0
189,6,0,3,10013
190,6,1,3,10013
191,6,2,3,10013
192,6,3,3,10013
193,6,4,3,10013
194,6,5,3,10013
195,6,6,3,10013
196,0,0,4,10001
197,0,1,4,10001
198,0,2,4,10001
199,0,3,4,0
200,0,4,4,0
201,0,5,4,0
202,0,6,4,0
203,1,0,4,10001
204,1,1,4,0
205,1,2,4,0
206,1,3,4,0
207,1,4,4,10001
208,1,5,4,10001
209,1,6,4,0
210,2,0,4,10001
211,2,1,4,0
212,2,2,4,0
213,2,3,4,10008
214,2,4,4,10001
215,2,5,4,10001
216,2,6,4,10009
217,3,0,4,10001
218,3,1,4,0
219,3,2,4,0
220,3,3,4,0
221,3,4,4,0
222,3,5,4,10011
223,3,6,4,10009
224,4,0,4,10001
225,4,1,4,0
226,4,2,4,0
227,4,3,4,0
228,4,4,4,10010
229,4,5,4,0
230,4,6,4,0
231,5,0,4,10001
232,5,1,4,0
233,5,2,4,0
234,5,3,4,0
235,5,4,4,0
236,5,5,4,0
237,5,6,4,0
238,6,0,4,10010
239,6,1,4,10001
240,6,2,4,10001
241,6,3,4,10001
242,6,4,4,0
243,6,5,4,0
244,6,6,4,10001
245,0,0,5,0
246,0,1,5,0
247,0,2,5,0
248,0,3,5,0
249,0,4,5,0
250,0,5,5,0
251,0,6,5,0
252,1,0,5,0
253,1,1,5,0
254,1,2,5,0
255,1,3,5,0
256,1,4,5,10001
257,1,5,5,10001
258,1,6,5,0
259,2,0,5,0
260,2,1,5,0
261,2,2,5,0
262,2,3,5,0
263,2,4,5,10001
264,2,5,5,10001
265,2,6,5,10009
266,3,0,5,0
267,3,1,5,0
268,3,2,5,0
269,3,3,5,0
270,3,4,5,0
271,3,5,5,0
272,3,6,5,10009
273,4,0,5,0
274,4,1,5,0
275,4,2,5,0
276,4,3,5,0
277,4,4,5,0
278,4,5,5,0
279,4,6,5,0
280,5,0,5,10009
281,5,1,5,0
282,5,2,5,0
283,5,3,5,0
284,5,4,5,0
285,5,5,5,0
286,5,6,5,0
287,6,0,5,10004
288,6,1,5,10009
289,6,2,5,0
290,6,3,5,0
291,6,4,5,0
292,6,5,5,0
293,6,6,5,0
294,0,0,6,0
295,0,1,6,0
296,0,2,6,0
297,0,3,6,0
298,0,4,6,0
299,0,5,6,0
300,0,6,6,0
301,1,0,6,0
302,1,1,6,0
303,1,2,6,0
304,1,3,6,0
305,1,4,6,10001
306,1,5,6,10001
307,1,6,6,10005
308,2,0,6,0
309,2,1,6,0
310,2,2,6,0
311,2,3,6,0
312,2,4,6,10001
313,2,5,6,10001
314,2,6,6,10009
315,3,0,6,0
316,3,1,6,0
317,3,2,6,0
318,3,3,6,0
319,3,4,6,0
320,3,5,6,0
321,3,6,6,10009
322,4,0,6,0
323,4,1,6,0
324,4,2,6,0
325,4,3,6,0
326,4,4,6,0
327,4,5,6,0
328,4,6,6,0
329,5,0,6,10009
330,5,1,6,0
331,5,2,6,0
332,5,3,6,0
333,5,4,6,0
334,5,5,6,0
335,5,6,6,0
336,6,0,6,10009
337,6,1,6,10009
338,6,2,6,0
339,6,3,6,0
340,6,4,6,0
341,6,5,6,0
342,6,6,6,0
343,0,0,7,0
344,0,1,7,0
345,0,2,7,0
346,0,3,7,0
347,0,4,7,0
348,0,5,7,0
349,0,6,7,0
350,1,0,7,0
351,1,1,7,0
352,1,2,7,0
353,1,3,7,0
354,1,4,7,0
355,1,5,7,0
356,1,6,7,0
357,2,0,7,0
358,2,1,7,0
359,2,2,7,0
360,2,3,7,0
361,2,4,7,10013
362,2,5,7,10013
363,2,6,7,10013
364,3,0,7,0
365,3,1,7,0
366,3,2,7,0
367,3,3,7,0
368,3,4,7,10013
369,3,5,7,10013
370,3,6,7,10013
371,4,0,7,0
372,4,1,7,0
373,4,2,7,0
374,4,3,7,0
375,4,4,7,0
376,4,5,7,0
377,4,6,7,0
378,5,0,7,0
379,5,1,7,0
380,5,2,7,0
381,5,3,7,0
382,5,4,7,0
383,5,5,7,0
384,5,6,7,0
385,6,0,7,0
386,6,1,7,0
387,6,2,7,0
388,6,3,7,0
389,6,4,7,0
390,6,5,7,0
391,6,6,7,0
392,0,0,8,0
393,0,1,8,0
394,0,2,8,0
395,0,3,8,0
396,0,4,8,0
397,0,5,8,0
398,0,6,8,0
399,1,0,8,0
400,1,1,8,0
401,1,2,8,0
402,1,3,8,0
403,1,4,8,0
404,1,5,8,0
405,1,6,8,0
406,2,0,8,0
407,2,1,8,0
408,2,2,8,0
409,2,3,8,0
410,2,4,8,10013
411,2,5,8,0
412,2,6,8,0
413,3,0,8,0
414,3,1,8,0
415,3,2,8,0
416,3,3,8,0
417,3,4,8,0
418,3,5,8,10009
419,3,6,8,10009
420,4,0,8,0
421,4,1,8,0
422,4,2,8,0
423,4,3,8,0
424,4,4,8,0
425,4,5,8,0
426,4,6,8,0
427,5,0,8,0
428,5,1,8,0
429,5,2,8,0
430,5,3,8,0
431,5,4,8,0
432,5,5,8,0
433,5,6,8,0
434,6,0,8,0
435,6,1,8,0
436,6,2,8,0
437,6,3,8,0
438,6,4,8,0
439,6,5,8,0
440,6,6,8,0
441,0,0,9,0
442,0,1,9,0
443,0,2,9,0
444,0,3,9,0
445,0,4,9,0
446,0,5,9,0
447,0,6,9,0
448,1,0,9,0
449,1,1,9,0
450,1,2,9,0
451,1,3,9,0
452,1,4,9,0
453,1,5,9,0
454,1,6,9,0
455,2,0,9,0
456,2,1,9,0
457,2,2,9,0
458,2,3,9,0
459,2,4,9,0
460,2,5,9,0
461,2,6,9,0
462,3,0,9,0
463,3,1,9,0
464,3,2,9,0
465,3,3,9,0
466,3,4,9,0
467,3,5,9,0
468,3,6,9,0
469,4,0,9,0
470,4,1,9,0
471,4,2,9,0
472,4,3,9,0
473,4,4,9,0
474,4,5,9,0
475,4,6,9,0
476,5,0,9,0
477,5,1,9,0
478,5,2,9,0
479,5,3,9,0
480,5,4,9,10005
481,5,5,9,0
482,5,6,9,0
483,6,0,9,0
484,6,1,9,0
485,6,2,9,0
486,6,3,9,0
487,6,4,9,0
488,6,5,9,0
489,6,6,9,0
490,0,0,10,0
491,0,1,10,0
492,0,2,10,0
493,0,3,10,0
494,0,4,10,0
495,0,5,10,0
496,0,6,10,0
497,1,0,10,0
498,1,1,10,0
499,1,2,10,0
500,1,3,10,0
501,1,4,10,0
502,1,5,10,0
503,1,6,10,0
504,2,0,10,0
505,2,1,10,0
506,2,2,10,0
507,2,3,10,0
508,2,4,10,0
509,2,5,10,0
510,2,6,10,0
511,3,0,10,0
512,3,1,10,0
513,3,2,10,0
514,3,3,10,0
515,3,4,10,0
516,3,5,10,0
517,3,6,10,0
518,4,0,10,0
519,4,1,10,0
520,4,2,10,0
521,4,3,10,0
522,4,4,10,0
523,4,5,10,0
524,4,6,10,0
525,5,0,10,0
526,5,1,10,0
527,5,2,10,0
528,5,3,10,0
529,5,4,10,0
530,5,5,10,0
531,5,6,10,0
532,6,0,10,0
533,6,1,10,0
534,6,2,10,0
535,6,3,10,0
536,6,4,10,0
537,6,5,10,0
538,6,6,10,0
539,0,0,11,0
540,0,1,11,0
541,0,2,11,0
542,0,3,11,0
543,0,4,11,0
544,0,5,11,0
545,0,6,11,0
546,1,0,11,0
547,1,1,11,0
548,1,2,11,0
549,1,3,11,0
550,1,4,11,0
551,1,5,11,0
552,1,6,11,0
553,2,0,11,0
554,2,1,11,0
555,2,2,11,0
556,2,3,11,0
557,2,4,11,0
558,2,5,11,0
559,2,6,11,0
560,3,0,11,0
561,3,1,11,0
562,3,2,11,0
563,3,3,11,0
564,3,4,11,0
565,3,5,11,0
566,3,6,11,0
567,4,0,11,0
568,4,1,11,0
569,4,2,11,0
570,4,3,11,0
571,4,4,11,0
572,4,5,11,0
573,4,6,11,0
574,5,0,11,0
575,5,1,11,0
576,5,2,11,0
577,5,3,11,0
578,5,4,11,0
579,5,5,11,0
580,5,6,11,0
581,6,0,11,0
582,6,1,11,0
583,6,2,11,0
584,6,3,11,0
585,6,4,11,0
586,6,5,11,0
587,6,6,11,0
588,0,0,12,0
589,0,1,12,0
590,0,2,12,0
591,0,3,12,0
592,0,4,12,0
593,0,5,12,0
594,0,6,12,0
595,1,0,12,0
596,1,1,12,0
597,1,2,12,0
598,1,3,12,0
599,1,4,12,0
600,1,5,12,0
601,1,6,12,0
602,2,0,12,0
603,2,1,12,0
604,2,2,12,0
605,2,3,12,0
606,2,4,12,0
607,2,5,12,0
608,2,6,12,0
609,3,0,12,0
610,3,1,12,0
611,3,2,12,0
612,3,3,12,0
613,3,4,12,0
614,3,5,12,0
615,3,6,12,0
616,4,0,12,0
617,4,1,12,0
618,4,2,12,0
619,4,3,12,0
620,4,4,12,0
621,4,5,12,0
622,4,6,12,0
623,5,0,12,0
624,5,1,12,0
625,5,2,12,0
626,5,3,12,0
627,5,4,12,0
628,5,5,12,0
629,5,6,12,0
630,6,0,12,0
631,6,1,12,0
632,6,2,12,0
633,6,3,12,0
634,6,4,12,0
635,6,5,12,0
636,6,6,12,0
