1070707,X,Z,Y,ID
112,2,0,2,0
113,2,1,2,0
114,2,2,2,0
115,2,3,2,0
116,2,4,2,0
117,2,5,2,10001
118,2,6,2,10001
119,3,0,2,0
120,3,1,2,0
121,3,2,2,0
122,3,3,2,0
123,3,4,2,0
124,3,5,2,10001
125,3,6,2,10001
126,4,0,2,0
127,4,1,2,0
128,4,2,2,0
129,4,3,2,0
130,4,4,2,0
131,4,5,2,10001
132,4,6,2,10001
133,5,0,2,10001
134,5,1,2,10001
135,5,2,2,10001
136,5,3,2,10001
137,5,4,2,10001
138,5,5,2,10001
139,5,6,2,10001
140,6,0,2,10001
141,6,1,2,10001
142,6,2,2,10001
143,6,3,2,10001
144,6,4,2,10001
145,6,5,2,10001
146,6,6,2,10001
147,0,0,3,0
148,0,1,3,0
149,0,2,3,0
150,0,3,3,0
151,0,4,3,0
152,0,5,3,0
153,0,6,3,10001
154,1,0,3,0
155,1,1,3,0
156,1,2,3,0
157,1,3,3,0
158,1,4,3,0
159,1,5,3,10001
160,1,6,3,10001
161,2,0,3,0
162,2,1,3,0
163,2,2,3,0
164,2,3,3,0
165,2,4,3,0
166,2,5,3,10001
167,2,6,3,10001
168,3,0,3,0
169,3,1,3,0
170,3,2,3,0
171,3,3,3,0
172,3,4,3,0
173,3,5,3,10001
174,3,6,3,10001
175,4,0,3,10005
176,4,1,3,0
177,4,2,3,0
178,4,3,3,0
179,4,4,3,0
180,4,5,3,10001
181,4,6,3,10001
182,5,0,3,10001
183,5,1,3,10001
184,5,2,3,10001
185,5,3,3,10001
186,5,4,3,10001
187,5,5,3,10001
188,5,6,3,10001
189,6,0,3,10001
190,6,1,3,10001
191,6,2,3,10001
192,6,3,3,10001
193,6,4,3,10001
194,6,5,3,10001
195,6,6,3,10001
196,0,0,4,0
197,0,1,4,0
198,0,2,4,0
199,0,3,4,0
200,0,4,4,0
201,0,5,4,0
202,0,6,4,10001
203,1,0,4,0
204,1,1,4,0
205,1,2,4,0
206,1,3,4,0
207,1,4,4,0
208,1,5,4,0
209,1,6,4,10001
210,2,0,4,0
211,2,1,4,0
212,2,2,4,0
213,2,3,4,0
214,2,4,4,0
215,2,5,4,0
216,2,6,4,10001
217,3,0,4,0
218,3,1,4,0
219,3,2,4,0
220,3,3,4,0
221,3,4,4,0
222,3,5,4,0
223,3,6,4,10001
224,4,0,4,0
225,4,1,4,0
226,4,2,4,0
227,4,3,4,0
228,4,4,4,0
229,4,5,4,0
230,4,6,4,10001
231,5,0,4,10001
232,5,1,4,10001
233,5,2,4,0
234,5,3,4,0
235,5,4,4,0
236,5,5,4,10004
237,5,6,4,10001
238,6,0,4,10001
239,6,1,4,10001
240,6,2,4,10001
241,6,3,4,10001
242,6,4,4,10001
243,6,5,4,10001
244,6,6,4,10001
245,0,0,5,0
246,0,1,5,0
247,0,2,5,0
248,0,3,5,0
249,0,4,5,0
250,0,5,5,0
251,0,6,5,10001
252,1,0,5,0
253,1,1,5,0
254,1,2,5,0
255,1,3,5,0
256,1,4,5,0
257,1,5,5,0
258,1,6,5,0
259,2,0,5,0
260,2,1,5,0
261,2,2,5,0
262,2,3,5,0
263,2,4,5,0
264,2,5,5,0
265,2,6,5,0
266,3,0,5,0
267,3,1,5,0
268,3,2,5,0
269,3,3,5,0
270,3,4,5,0
271,3,5,5,0
272,3,6,5,10001
273,4,0,5,0
274,4,1,5,0
275,4,2,5,0
276,4,3,5,0
277,4,4,5,0
278,4,5,5,0
279,4,6,5,0
280,5,0,5,10001
281,5,1,5,0
282,5,2,5,0
283,5,3,5,0
284,5,4,5,0
285,5,5,5,0
286,5,6,5,0
287,6,0,5,10001
288,6,1,5,0
289,6,2,5,0
290,6,3,5,10001
291,6,4,5,0
292,6,5,5,0
293,6,6,5,10001
294,0,0,6,0
295,0,1,6,0
296,0,2,6,0
297,0,3,6,0
298,0,4,6,0
299,0,5,6,0
300,0,6,6,0
301,1,0,6,0
302,1,1,6,0
303,1,2,6,0
304,1,3,6,0
305,1,4,6,0
306,1,5,6,0
307,1,6,6,0
308,2,0,6,0
309,2,1,6,0
310,2,2,6,0
311,2,3,6,0
312,2,4,6,0
313,2,5,6,0
314,2,6,6,0
315,3,0,6,0
316,3,1,6,0
317,3,2,6,0
318,3,3,6,0
319,3,4,6,0
320,3,5,6,0
321,3,6,6,0
322,4,0,6,0
323,4,1,6,0
324,4,2,6,0
325,4,3,6,0
326,4,4,6,0
327,4,5,6,0
328,4,6,6,0
329,5,0,6,0
330,5,1,6,0
331,5,2,6,0
332,5,3,6,0
333,5,4,6,0
334,5,5,6,0
335,5,6,6,0
336,6,0,6,0
337,6,1,6,0
338,6,2,6,0
339,6,3,6,0
340,6,4,6,0
341,6,5,6,0
342,6,6,6,0
