ooo,Number,Name,Color,Icon,Mesh,Material,Volume
124,124,树1,#1C9A06,1,Prefabs/A/kingdom_tree_center_1,1,0
125,125,树2,#1C9A06,1,Prefabs/A/kingdom_tree_center_2,1,0
126,126,树3,#1C9A06,1,Prefabs/A/kingdom_tree_center_3,1,0
127,127,树4,#1C9A06,1,Prefabs/A/kingdom_tree_center_4,1,0
128,128,树5,#1C9A06,1,Prefabs/A/kingdom_tree_center_5,1,0
129,129,树6,#1C9A06,1,Prefabs/A/kingdom_tree_center_6,1,0
130,130,树7,#1C9A06,1,Prefabs/A/kingdom_tree_center_7,1,0
131,131,树8,#1C9A06,1,Prefabs/A/kingdom_tree_center_8,1,0
132,132,熔岩地1,#606C72,1,Prefabs/A/kingdom_building_bad_3x3,1,1
133,133,熔岩地3,#606C72,1,Prefabs/A/kingdom_building_bad_3x3_2,1,1
134,134,右下水1,#45A9CD,1,Prefabs/A/kingdom_water_1,1,1
135,135,下水1,#45A9CD,1,Prefabs/A/kingdom_water_2,1,1
136,136,左下水1,#45A9CD,1,Prefabs/A/kingdom_water_3,1,1
137,137,右下水2,#45A9CD,1,Prefabs/A/kingdom_water_12,1,1
138,138,右半水1,#45A9CD,1,,1,1
139,139,全是水1,#00ACEA,1,Prefabs/A/kingdom_water_center,1,1
140,140,左半水1,#45A9CD,1,,1,1
141,141,左下水2,#45A9CD,1,Prefabs/A/kingdom_water_11,1,1
142,142,右水1,#45A9CD,1,Prefabs/A/kingdom_water_4,1,1
143,143,左水1,#45A9CD,1,Prefabs/A/kingdom_water_5,1,1
144,144,右上水1,#45A9CD,1,Prefabs/A/kingdom_water_6,1,1
145,145,右半水2,#45A9CD,1,,1,1
146,146,左半水2,#45A9CD,1,,1,1
147,147,左上水1,#45A9CD,1,Prefabs/A/kingdom_water_8,1,1
148,148,右上水2,#45A9CD,1,Prefabs/A/kingdom_water_10,1,1
149,149,上水1,#45A9CD,1,Prefabs/A/kingdom_water_7,1,1
150,150,左上水2,#45A9CD,1,Prefabs/A/kingdom_water_9,1,1
